protocol,experiment,query_id,query_text,language,signal_agreement,fold,true_intent,predicted_intent,predicted_probability,second_intent,probability_margin,correct,manual_review_note
template_grouped,T1-E4,Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Multiple-molecule structure identifies a multi-drug query but does not distinguish co-administration from comparison; the combination cue should determine the label.
template_grouped,T1-E4,Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Multiple-molecule structure identifies a multi-drug query but does not distinguish co-administration from comparison; the combination cue should determine the label.
template_grouped,T1-E4,Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Multiple-molecule structure identifies a multi-drug query but does not distinguish co-administration from comparison; the combination cue should determine the label.
template_grouped,T1-E4,Q207,Ramipril combination therapy Hypertension,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Combination therapy is interpreted as general treatment selection; explicit co-administration should retain the Interaction / Combination subtype.
template_grouped,T1-E4,Q306,Tenofovir+Lamivudine combination therapy Urinary Tract Infection,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Combination therapy is interpreted as general treatment selection; explicit co-administration should retain the Interaction / Combination subtype.
template_grouped,T1-E4,Q432,Semaglutide combination therapy Obesity,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Combination therapy is interpreted as general treatment selection; explicit co-administration should retain the Interaction / Combination subtype.
template_grouped,T1-E4,Q310,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,ID,two_signal_including_rule,1,Management / Treatment Selection,Mechanism / Background Knowledge,0.21421229523543736,Management / Treatment Selection,0.039190435980701765,False,"The short 'target terapi' formulation is semantically underspecified, but the weak target treats it as a management objective rather than background knowledge."
template_grouped,T1-E4,Q490,target terapi Hypothyroidism dengan Thyroid hormones,ID,two_signal_including_rule,1,Management / Treatment Selection,Mechanism / Background Knowledge,0.21421229523543736,Management / Treatment Selection,0.039190435980701765,False,"The short 'target terapi' formulation is semantically underspecified, but the weak target treats it as a management objective rather than background knowledge."
template_grouped,T1-E4,Q046,kapan mulai terapi Adalimumab pada Gout,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment initiation is incorrectly interpreted as longitudinal maintenance despite the absence of a prophylaxis or achieved-target cue.
template_grouped,T1-E4,Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment initiation is incorrectly interpreted as longitudinal maintenance despite the absence of a prophylaxis or achieved-target cue.
