protocol,experiment,query_id,query_text,language,signal_agreement,fold,true_intent,predicted_intent,predicted_probability,second_intent,probability_margin,correct
template_grouped,T1-E4,Q198,Calcium channel blockers new evidence Hypertension 2022,EN,two_signal_including_rule,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.1592253351816856,Guideline / Evidence Lookup,0.0032595149589330075,False
template_grouped,T1-E4,Q207,Ramipril combination therapy Hypertension,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False
template_grouped,T1-E4,Q306,Tenofovir+Lamivudine combination therapy Urinary Tract Infection,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False
template_grouped,T1-E4,Q432,Semaglutide combination therapy Obesity,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False
template_grouped,T1-E4,Q452,Prednisolone combination therapy Rheumatoid Arthritis,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False
template_grouped,T1-E4,Q462,Aspirin combination therapy Ischaemic Stroke,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False
template_grouped,T1-E4,Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q262,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q327,kombinasi Desmopressin dan Desmopressin pada Diabetes Insipidus aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q328,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False
template_grouped,T1-E4,Q483,Hypertension dengan pregnancy pilihan drug terbaik,MIXED,prototype_cluster_against_rule,2,Management / Treatment Selection,Safety / Contraindication,0.31869791045956614,Management / Treatment Selection,0.13526757808898712,False
template_grouped,T1-E4,Q446,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,ID,prototype_cluster_against_rule,2,Management / Treatment Selection,Safety / Contraindication,0.31329111737114385,Management / Treatment Selection,0.11985615335844066,False
template_grouped,T1-E4,Q044,Malaria with pregnancy first line drug,EN,prototype_cluster_against_rule,1,Management / Treatment Selection,Safety / Contraindication,0.36019941066563665,Management / Treatment Selection,0.10354551350680086,False
template_grouped,T1-E4,Q406,Ischaemic Stroke with pregnancy first line drug,EN,prototype_cluster_against_rule,1,Management / Treatment Selection,Safety / Contraindication,0.36019941066563665,Management / Treatment Selection,0.10354551350680086,False
template_grouped,T1-E4,Q219,Diabetes Insipidus dengan diabetes pilihan drug terbaik,MIXED,two_signal_including_rule,2,Management / Treatment Selection,Safety / Contraindication,0.24127892177087293,Management / Treatment Selection,0.09585552779473722,False
template_grouped,T1-E4,Q211,Tuberculosis dengan atrial fibrillation pilihan terapi,ID,prototype_cluster_against_rule,2,Management / Treatment Selection,Safety / Contraindication,0.2030914944865554,Dosing / Administration,0.058177340101057046,False
template_grouped,T1-E4,Q310,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,ID,two_signal_including_rule,1,Management / Treatment Selection,Mechanism / Background Knowledge,0.21421229523543736,Management / Treatment Selection,0.039190435980701765,False
template_grouped,T1-E4,Q490,target terapi Hypothyroidism dengan Thyroid hormones,ID,two_signal_including_rule,1,Management / Treatment Selection,Mechanism / Background Knowledge,0.21421229523543736,Management / Treatment Selection,0.039190435980701765,False
template_grouped,T1-E4,Q046,kapan mulai terapi Adalimumab pada Gout,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False
template_grouped,T1-E4,Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False
template_grouped,T1-E4,Q172,kapan mulai terapi Aspirin pada Stable Angina,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False
template_grouped,T1-E4,Q218,kapan mulai terapi Methimazole pada Hyperthyroidism,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False
template_grouped,T1-E4,Q410,kapan mulai terapi Alteplase pada Ischaemic Stroke,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False
template_grouped,T1-E4,Q245,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381820454075622,Treatment Change / Escalation,0.0020632397904331856,False
template_grouped,T1-E4,Q332,kapan mulai terapi Desmopressin pada Diabetes Insipidus,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381820454075622,Treatment Change / Escalation,0.0020632397904331856,False
template_grouped,T1-E4,Q226,target Gout sudah tercapai kapan maintenance Secukinumab,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q304,target Major Depressive Disorder sudah tercapai kapan maintenance Venlafaxine,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q325,target Systemic Lupus Erythematosus sudah tercapai kapan maintenance Adalimumab,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q363,target Type 2 Diabetes Mellitus sudah tercapai kapan maintenance Liraglutide,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q402,target Obesity sudah tercapai kapan maintenance Semaglutide,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q425,target Urinary Tract Infection sudah tercapai kapan maintenance Tenofovir+Lamivudine,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q426,target Psoriasis sudah tercapai kapan maintenance Dupilumab,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False
template_grouped,T1-E4,Q205,terapi profilaksis Typhoid Fever dengan Artemether-lumefantrine,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False
