protocol,split,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,train,relevance_grade,1,query_language,EN,142,98,44,0.04929577464788732,0.008361678004535147,0.04081632653061224,0.04081632653061224,0.03206997084548105,0.03990610328638497,0.013747165532879819,0.07142857142857142,0.054421768707483,0.02327845131841664,0.033802816901408454,0.01488095238095238,0.07142857142857142,0.054421768707483,0.02137255757735939,0.027464788732394368,0.02835681891804341,0.14285714285714285,0.06492954324586979,0.02673590396346849,0.03204225352112676,0.048805474570780695,0.1836734693877551,0.06762773790835017,0.031635993740651014
temporal,train,relevance_grade,1,query_language,ID,84,63,21,0.03571428571428571,0.010582010582010581,0.031746031746031744,0.031746031746031744,0.022675736961451247,0.04365079365079364,0.010582010582010581,0.031746031746031744,0.031746031746031744,0.014314426539791711,0.04285714285714286,0.01549508692365835,0.06349206349206349,0.03968253968253968,0.015985407648199723,0.036904761904761905,0.02040816326530612,0.09523809523809523,0.04431216931216932,0.017858805904259277,0.03571428571428571,0.04525069286974048,0.19047619047619047,0.05105163631995417,0.026441481815301846
temporal,train,relevance_grade,1,query_language,MIXED,114,84,30,0.06140350877192982,0.009126984126984128,0.047619047619047616,0.047619047619047616,0.027210884353741496,0.043859649122807015,0.016005291005291005,0.09523809523809523,0.06746031746031746,0.028319928679598094,0.04210526315789474,0.029610733182161755,0.11904761904761904,0.07281746031746031,0.02995336585629909,0.04122807017543859,0.05512093726379441,0.16666666666666666,0.07851946334089191,0.040210028842975344,0.03859649122807018,0.07380479969765685,0.20238095238095238,0.08081413120803878,0.045223451371145376
temporal,train,relevance_grade,1,query_intent,Comparative Treatment Choice,20,15,5,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.034999999999999996,0.027777777777777776,0.13333333333333333,0.02222222222222222,0.015560779491705784,0.027500000000000004,0.027777777777777776,0.13333333333333333,0.02222222222222222,0.015560779491705784
temporal,train,relevance_grade,1,query_intent,Dosing / Administration,64,50,14,0.03125,0.010666666666666666,0.04,0.04,0.04,0.026041666666666664,0.018000000000000002,0.08,0.05666666666666667,0.03196311426810571,0.03125,0.021333333333333333,0.1,0.06166666666666667,0.029502488267545007,0.0390625,0.057190476190476194,0.2,0.07543650793650794,0.04225285453099172,0.040625,0.062190476190476185,0.22,0.07668650793650794,0.04350910271154392
temporal,train,relevance_grade,1,query_intent,Efficacy / Outcomes,12,7,5,0.16666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.014285714285714287,0.14285714285714285,0.047619047619047616,0.020618691374387096,0.06666666666666667,0.014285714285714287,0.14285714285714285,0.047619047619047616,0.016681932210810192,0.041666666666666664,0.014285714285714287,0.14285714285714285,0.047619047619047616,0.013026100469611139,0.041666666666666664,0.014285714285714287,0.14285714285714285,0.047619047619047616,0.013026100469611135
temporal,train,relevance_grade,1,query_intent,Guideline / Evidence Lookup,37,30,7,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.021621621621621623,0.03333333333333333,0.03333333333333333,0.008333333333333333,0.014355885269113102,0.02702702702702703,0.03888888888888889,0.06666666666666667,0.0125,0.016745483849043945,0.03378378378378379,0.07592592592592592,0.13333333333333333,0.01673280423280423,0.02873174631529322
temporal,train,relevance_grade,1,query_intent,Interaction / Combination,14,12,2,0.21428571428571427,0.07222222222222223,0.25,0.25,0.15476190476190477,0.07142857142857142,0.07222222222222223,0.25,0.25,0.09450581538676457,0.05714285714285715,0.07222222222222223,0.25,0.25,0.08682426215313127,0.03571428571428571,0.07222222222222223,0.25,0.25,0.08576677747485617,0.03571428571428572,0.12430555555555556,0.4166666666666667,0.2618464052287582,0.08993839154225043
temporal,train,relevance_grade,1,query_intent,Management / Treatment Selection,43,30,13,0.023255813953488372,0.0,0.0,0.0,0.0,0.03875968992248062,0.0,0.0,0.0,0.0,0.03255813953488373,0.0,0.0,0.0,0.0,0.016279069767441864,0.0,0.0,0.0,0.0,0.01976744186046512,0.0037037037037037034,0.03333333333333333,0.0030303030303030303,0.003146542845196754
temporal,train,relevance_grade,1,query_intent,Mechanism / Background Knowledge,23,13,10,0.0,0.0,0.0,0.0,0.0,0.02898550724637681,0.019230769230769232,0.07692307692307693,0.02564102564102564,0.021396092041863064,0.026086956521739136,0.03021978021978022,0.15384615384615385,0.041025641025641026,0.03336725635508552,0.034782608695652174,0.04975579975579975,0.23076923076923078,0.05201465201465202,0.04064352933881551,0.03260869565217392,0.04975579975579975,0.23076923076923078,0.05201465201465202,0.04064352933881551
