protocol,split,experiment,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,requested_exact:hybrid,relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.005643413948567198,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.014389601968513408,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.02545036472644607,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.03160926675234299
temporal,validation,requested_exact:hybrid,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.0071378194370153025,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.016309923967196174,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.027151174480129842,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.033113659422824904
temporal,validation,requested_exact:hybrid,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.0071378194370153025,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.01658364675545135,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.028248494812321986,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.03421097975501705
temporal,validation,requested_exact:hybrid,relevance_grade,2,139,101,38,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.006313918576119736,0.03597122302158273,0.031683168316831684,0.039603960396039604,0.009240924092409241,0.016099257647940745,0.035251798561151085,0.059735973597359736,0.07920792079207921,0.01471004243281471,0.02517384040351557,0.03201438848920863,0.08399339933993401,0.12871287128712872,0.0181664407042208,0.03206449316516262
temporal,validation,requested_exact:selected_signed_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.02949640287769784,0.05081120943952803,0.07964601769911504,0.03198131760078663,0.03114661214554414,0.027697841726618707,0.05958702064896755,0.10619469026548672,0.03362509287808611,0.0328193317696865
temporal,validation,requested_exact:selected_signed_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.02949640287769784,0.05081120943952803,0.07964601769911504,0.03198131760078663,0.03077888952939512,0.027697841726618707,0.05958702064896755,0.10619469026548672,0.03362509287808611,0.03307938655008526
temporal,validation,requested_exact:selected_signed_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.02949640287769784,0.05081120943952803,0.07964601769911504,0.03198131760078663,0.03135074924197543,0.027697841726618707,0.05958702064896755,0.10619469026548672,0.03362509287808611,0.0338379778594473
temporal,validation,requested_exact:selected_signed_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.030215827338129504,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.02949640287769784,0.04900990099009901,0.06930693069306931,0.031490649064906485,0.031985171743847525,0.027697841726618707,0.05066006600660067,0.07920792079207921,0.03198569856985699,0.03385663033323452
temporal,validation,requested_exact:selected_all_terms,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.02877697841726619,0.05081120943952803,0.07964601769911504,0.03198131760078663,0.03114661214554414,0.02733812949640288,0.05848082595870206,0.09734513274336283,0.033182615001979915,0.03240427806588227
temporal,validation,requested_exact:selected_all_terms,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.02877697841726619,0.05081120943952803,0.07964601769911504,0.03198131760078663,0.03077888952939512,0.02733812949640288,0.05848082595870206,0.09734513274336283,0.033182615001979915,0.03289974118649671
